symbol,entry_date,entry_price,exit_date,exit_price,shares,reason
HSCL.NS,2023-05-24,127.77765152740477,2023-05-29,124.3755,39,early
CANFINHOME.NS,2023-05-31,707.9072122192382,2023-06-05,713.1361256103515,7,early
NLCINDIA.NS,2023-06-05,98.34825,2023-06-13,99.00089847564698,50,early
HDFCLIFE.NS,2023-06-16,610.1595377807616,2023-06-20,643.0563121948243,8,target
EXIDEIND.NS,2023-06-20,220.5703561096191,2023-06-21,230.06970304870606,22,target
VTL.NS,2023-06-21,373.3229622192383,2023-06-22,360.8388121948243,13,early
MOTHERSON.NS,2023-06-21,57.29056692123412,2023-06-22,56.4435,2,early
AUROPHARMA.NS,2023-06-23,699.8491744384764,2023-06-28,738.01125,7,target
SAIL.NS,2023-07-10,90.14005305480956,2023-07-18,90.20970304870605,55,early
MAHABANK.NS,2023-07-19,33.333299236297606,2023-07-25,33.41655076217651,150,early
MAHABANK.NS,2023-08-08,36.286249999999995,2023-08-10,36.56339847564696,137,early
USHAMART.NS,2023-09-11,371.2208561096191,2023-09-12,356.7429060974121,13,early
NH.NS,2023-09-14,1093.0919999999999,2023-09-18,1098.15075,4,early
GICRE.NS,2023-09-15,235.38514389038087,2023-09-20,229.3704060974121,2,early
GRANULES.NS,2023-09-27,350.09975,2023-09-28,341.5081560974121,14,early
LICHSGFIN.NS,2023-10-03,477.7772877807617,2023-10-04,466.8826560974121,10,early
SUNTV.NS,2023-10-05,634.7841744384765,2023-10-09,610.8385621948242,7,early
COALINDIA.NS,2023-10-10,303.55325,2023-10-23,305.7939060974121,16,trail
SUNTV.NS,2023-11-13,672.92225,2023-11-15,665.2840621948242,7,early
CHENNPETRO.NS,2023-11-15,639.5889622192382,2023-11-17,626.5728121948242,7,early
MAXHEALTH.NS,2023-12-01,653.0023255615233,2023-12-05,682.3669378051758,7,early
PATANJALI.NS,2023-12-05,1512.5109999999997,2023-12-07,1596.8016243896484,3,early
ZYDUSLIFE.NS,2023-12-07,658.6079622192382,2023-12-08,637.9114378051758,7,stop
ELGIEQUIP.NS,2023-12-11,550.3497877807616,2023-12-12,541.1583121948242,1,early
HCLTECH.NS,2023-12-08,1365.4640755615233,2023-12-14,1413.1853756103515,3,target
PPLPHARMA.NS,2023-12-22,140.64049999999997,2023-12-26,138.46140609741212,35,early
MOTHERSON.NS,2023-12-29,68.03463384246825,2024-01-02,69.93,3,early
RPOWER.NS,2024-01-03,25.97595076370239,2024-01-04,30.369599618911746,1,target
COCHINSHIP.NS,2023-12-26,687.93725,2024-01-08,646.1781871948242,7,early
NBCC.NS,2024-01-03,58.72533078765869,2024-01-08,56.643300762176516,4,early
TANLA.NS,2024-01-10,1197.9467499999998,2024-01-12,1185.763001220703,4,early
PNB.NS,2024-01-19,102.30219694519043,2024-01-23,98.65125,48,early
INDHOTEL.NS,2024-01-29,496.6461438903808,2024-02-02,499.5,10,early
GLAND.NS,2024-02-06,2142.5403022460937,2024-02-07,2041.8561243896484,2,early
ABSLAMC.NS,2024-08-20,752.1514244384765,2024-08-22,748.2010621948242,6,early
JINDALSAW.NS,2024-08-22,344.34399999999994,2024-08-27,347.277375,14,early
GRANULES.NS,2024-08-28,707.1564622192382,2024-09-02,683.1661256103515,7,early
BBTC.NS,2024-09-03,2676.42375,2024-09-06,2623.274002441406,1,early
JUBLINGREA.NS,2024-09-04,743.0923255615234,2024-09-06,714.03525,3,early
SHRIRAMFIN.NS,2024-09-12,680.8301744384764,2024-09-18,714.2250624389649,7,target
TATACOMM.NS,2024-09-25,2129.8276511230465,2024-09-30,2132.61525,2,early
MOTHERSON.NS,2024-09-26,142.12865048217773,2024-10-03,135.81072386169433,4,early
IPCALAB.NS,2024-10-08,1539.2877499999997,2024-10-10,1588.459998779297,3,early
FLUOROCHEM.NS,2024-10-10,4664.40975,2024-10-23,4383.212497558594,1,early
ABSLAMC.NS,2024-11-27,884.3834999999999,2024-12-02,874.5246243896485,5,early
AFFLE.NS,2024-12-02,1737.9361511230468,2024-12-05,1771.0771256103515,2,early
360ONE.NS,2024-12-10,1199.5984244384765,2024-12-19,1224.1246256103516,4,early
CAPLIPOINT.NS,2024-12-27,2602.7500522460937,2024-12-31,2498.149252441406,1,early
